,NAV,date
989,27.32,07-Jul-2022
990,27.55,08-Jul-2022
991,27.44,11-Jul-2022
992,27.22,12-Jul-2022
993,27.13,13-Jul-2022
994,27.04,14-Jul-2022
995,27.13,15-Jul-2022
996,27.62,18-Jul-2022
997,27.76,19-Jul-2022
998,28.07,20-Jul-2022
999,28.3,21-Jul-2022
1000,28.36,22-Jul-2022
1001,28.31,25-Jul-2022
1002,28.01,26-Jul-2022
1003,28.24,27-Jul-2022
1004,28.55,28-Jul-2022
1005,29.07,29-Jul-2022
1006,29.39,01-Aug-2022
1007,29.32,02-Aug-2022
1008,29.36,03-Aug-2022
1009,29.42,04-Aug-2022
1010,29.5,05-Aug-2022
1011,29.69,08-Aug-2022
1012,29.68,10-Aug-2022
1013,29.82,11-Aug-2022
1014,29.93,12-Aug-2022
1015,30.08,16-Aug-2022
1016,30.28,17-Aug-2022
1017,30.22,18-Aug-2022
1018,30.01,19-Aug-2022
1019,29.64,22-Aug-2022
1020,29.81,23-Aug-2022
1021,29.9,24-Aug-2022
1022,29.85,25-Aug-2022
1023,29.97,26-Aug-2022
1024,29.55,29-Aug-2022
1025,30.15,30-Aug-2022
1026,29.84,01-Sep-2022
1027,29.86,02-Sep-2022
1028,30.03,05-Sep-2022
1029,30.03,06-Sep-2022
1030,30.02,07-Sep-2022
1031,30.28,08-Sep-2022
1032,30.45,09-Sep-2022
1033,30.61,12-Sep-2022
1034,30.76,13-Sep-2022
1035,30.62,14-Sep-2022
1036,30.46,15-Sep-2022
1037,29.92,16-Sep-2022
1038,29.99,19-Sep-2022
1039,30.3,20-Sep-2022
1040,30.09,21-Sep-2022
1041,29.98,22-Sep-2022
1042,29.63,23-Sep-2022
1043,29.16,26-Sep-2022
1044,29.21,27-Sep-2022
1045,29.15,28-Sep-2022
1046,29.26,29-Sep-2022
1047,29.54,30-Sep-2022
1048,29.43,03-Oct-2022
1049,29.85,04-Oct-2022
1050,30.0,06-Oct-2022
1051,30.0,07-Oct-2022
1052,29.93,10-Oct-2022
1053,29.54,11-Oct-2022
1054,29.72,12-Oct-2022
1055,29.66,13-Oct-2022
1056,29.87,14-Oct-2022
1057,30.01,17-Oct-2022
1058,30.24,18-Oct-2022
1059,30.16,19-Oct-2022
1060,30.28,20-Oct-2022
1061,30.37,21-Oct-2022
1062,30.71,25-Oct-2022
1063,30.93,27-Oct-2022
1064,30.9,28-Oct-2022
1065,31.23,31-Oct-2022
1066,31.48,01-Nov-2022
1067,31.41,02-Nov-2022
1068,31.28,03-Nov-2022
1069,31.26,04-Nov-2022
1070,31.44,07-Nov-2022
1071,31.31,09-Nov-2022
1072,31.17,10-Nov-2022
1073,31.55,11-Nov-2022
1074,31.58,14-Nov-2022
1075,31.72,15-Nov-2022
1076,31.68,16-Nov-2022
1077,31.58,17-Nov-2022
1078,31.47,18-Nov-2022
1079,31.37,21-Nov-2022
1080,31.51,22-Nov-2022
1081,31.59,23-Nov-2022
1082,31.96,24-Nov-2022
1083,32.03,25-Nov-2022
1084,32.04,28-Nov-2022
1085,32.08,29-Nov-2022
1086,32.24,30-Nov-2022
1087,32.38,01-Dec-2022
1088,32.35,02-Dec-2022
1089,32.43,05-Dec-2022
1090,32.25,06-Dec-2022
1091,32.1,07-Dec-2022
1092,32.2,08-Dec-2022
1093,31.85,09-Dec-2022
1094,31.84,12-Dec-2022
1095,32.05,13-Dec-2022
1096,32.23,14-Dec-2022
1097,31.94,15-Dec-2022
1098,31.71,16-Dec-2022
1099,31.9,19-Dec-2022
1100,31.78,20-Dec-2022
1101,31.57,21-Dec-2022
1102,31.39,22-Dec-2022
1103,30.81,23-Dec-2022
1104,31.17,26-Dec-2022
1105,31.4,27-Dec-2022
1106,31.38,28-Dec-2022
1107,31.52,29-Dec-2022
1108,31.45,30-Dec-2022
1109,31.65,02-Jan-2023
1110,31.71,03-Jan-2023
1111,31.44,04-Jan-2023
1112,31.46,05-Jan-2023
1113,31.21,06-Jan-2023
1114,31.59,09-Jan-2023
1115,31.42,10-Jan-2023
1116,31.37,11-Jan-2023
1117,31.43,12-Jan-2023
1118,31.53,13-Jan-2023
1119,31.52,16-Jan-2023
1120,31.71,17-Jan-2023
1121,31.91,18-Jan-2023
1122,31.96,19-Jan-2023
1123,31.86,20-Jan-2023
1124,32.05,23-Jan-2023
1125,32.01,24-Jan-2023
1126,31.75,25-Jan-2023
1127,31.4,27-Jan-2023
1128,31.43,30-Jan-2023
1129,31.57,31-Jan-2023
1130,31.39,01-Feb-2023
1131,31.44,02-Feb-2023
1132,31.74,03-Feb-2023
